medicine_id,name,category,criticality,base_daily_usage,reorder_point,target_max_stock,shelf_life_days,unit_cost
MED076,Vancomycin Box,PPE / Consumables,Medium,101.72,985.0,4028.0,824,65.97
MED077,Cefixime Box,PPE / Consumables,Medium,243.55,2522.0,7922.0,1770,117.16
MED078,Doxycycline Unit,PPE / Consumables,Medium,395.32,3095.0,16608.0,735,142.7
MED079,Prednisolone 500mg,PPE / Consumables,Medium,272.98,3222.0,6892.0,864,88.44
MED080,Hydrocortisone Unit,PPE / Consumables,Medium,209.01,2134.0,7074.0,1521,44.66
MED081,Tramadol Box,PPE / Consumables,Medium,155.67,1210.0,6996.0,1295,117.3
MED082,Diclofenac 250mg,PPE / Consumables,Medium,357.72,2771.0,16091.0,1480,125.62
MED083,Amlodipine 10ml,PPE / Consumables,Medium,282.99,3758.0,7239.0,879,14.02
MED084,Ranitidine 500mg,PPE / Consumables,Medium,134.29,1126.0,5803.0,1226,116.63
MED085,Ondansetron 500mg,PPE / Consumables,Medium,279.69,2059.0,10382.0,1726,1.31
MED086,Metronidazole 250mg,PPE / Consumables,Medium,330.52,2446.0,13558.0,1785,127.49
MED087,Ciprofloxacin Unit,Vaccines,Critical,28.19,363.0,728.0,123,104.87
MED088,Clopidogrel 500mg,Vaccines,Critical,10.04,123.0,378.0,121,75.93
MED089,Enoxaparin 500mg,Vaccines,Critical,26.28,219.0,799.0,213,110.33
MED090,Albumin Box,Vaccines,Critical,22.75,168.0,849.0,234,91.93
MED091,Packed RBC Box,Vaccines,Critical,6.06,50.0,163.0,150,106.58
MED092,Fresh Frozen Plasma Box,Vaccines,Critical,9.59,120.0,362.0,193,69.05
MED093,Platelets 500mg,Vaccines,Critical,19.31,176.0,706.0,213,141.93
MED094,Whole Blood 10ml,Vaccines,Critical,22.49,181.0,791.0,161,141.12
MED095,MMR Vaccine 1g,General OTC,Low,30.2,240.0,923.0,1032,18.32
MED096,Hepatitis B Vaccine 1g,General OTC,Low,25.24,289.0,839.0,814,91.84
MED097,Tetanus Vaccine 250mg,General OTC,Low,30.44,281.0,783.0,979,88.45
MED098,COVID-19 Vaccine 1g,General OTC,Low,30.92,340.0,1123.0,713,34.23
MED099,Influenza Vaccine 10ml,General OTC,Low,45.1,416.0,1838.0,764,98.04
MED100,BCG Vaccine 1g,General OTC,Low,37.46,357.0,1321.0,508,94.09
MED101,Rabies Vaccine Box,General OTC,Low,46.84,493.0,1658.0,773,138.2
MED102,Surgical Gloves 250mg,General OTC,Low,49.99,523.0,1366.0,544,125.69
MED103,N95 Masks Box,General OTC,Low,13.6,122.0,431.0,999,8.81
MED104,Surgical Gowns 250mg,General OTC,Low,18.65,132.0,775.0,899,111.53
